BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/0001,01/04/2022,341940,Local,AKANKSHA PACKS - DR,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,10,7052,304999,MH20DE1939,AKANKSHA PACKS - DR
KPM/2022-23/0002,01/04/2022,668613,Local,SUMEET PACKERS P LTD.-UNIT I,APM TERMINALS (INDIA) PVT. LTD.,PM2 GODOWN,18,12183,590875.5,MH46AR4306,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0003,01/04/2022,527206,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,16,10690,470720,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0004,01/04/2022,423622,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,14,8662,378234,MH20AT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/0006,01/04/2022,235321,Local,AKANKSHA PACKS - DR,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,7,4807,209897.75,MH20DE1939,AKANKSHA PACKS - DR
KPM/2022-23/0007,01/04/2022,74818,Local,SWARAJYA PACKAGING,SABOO TRANSPORT SERVICE,PM3 GODOWN,5,1483,66735,MH11CH1921,S PAPERS
KPM/2022-23/0008,01/04/2022,57241,Local,SWARAJYA PACKAGING,SABOO TRANSPORT SERVICE,PM2 GODOWN,4,1098,51057,MH11CH1921,S PAPERS
KPM/2022-23/0009,01/04/2022,19596,Local,SHRI SAINATH PACKAGES-SP,SABOO TRANSPORT SERVICE,PM3 GODOWN,1,395,17478.75,MH11CH1921,S PAPERS
KPM/2022-23/0010,01/04/2022,147154,Local,GANESH ENTERPRISES-S P,SABOO TRANSPORT SERVICE,PM2 GODOWN,8,2844,131256,MH11CH1921,S PAPERS
EXP/2022-23/0001,02/04/2022,17351.67,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26211,17351.67,MH46AF2299,
EXP/2022-23/0002,02/04/2022,17200.74,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,19,25983,17200.74,MH46AF8248,
KPM/2022-23/0011,02/04/2022,545621,Local,CARE PACK PVT. LTD.-KA,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,22,11124,486675,MH20CT0633,KRISHNA AGENCIES
KPM/2022-23/0012,02/04/2022,162758,Local,SUMAN PACKAGING,PARTY TRANSPORT,PM3 GODOWN,7,3360,145320,MH16CC5911,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0013,02/04/2022,131302,Local,Umesh Packaging,PARTY TRANSPORT,PM2 GODOWN,4,2366,117117,MH17BY0190,VEDANT PACKER PVT. LTD.
KPM/2022-23/0014,02/04/2022,245678,Local,SUMAN PACKAGING,SABOO TRANSPORT SERVICE,PM2 GODOWN,10,4618,219355,MH29T1345,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0015,02/04/2022,123040,Local,OM SAI PACKAGING INDUSTRY,PARTY TRANSPORT,PM2 GODOWN,5,2397,109747.5,MH16CC8038,VEDANT PACKER PVT. LTD.
KPM/2022-23/0016,02/04/2022,921077,Local,GREENPACK INDUSTRIES -,SELF TRANSPORTER,PM3 GODOWN,18,18935,822390.25,MH43E7187,GREENPACK INDUSTRIES -
KPM/2022-23/0017,02/04/2022,45851,Local,Matere Packaging Industries Private Limited,SABOO TRANSPORT SERVICE,PM2 GODOWN,2,861,40897.5,MH20CT1852,S PAPERS
KPM/2022-23/0018,02/04/2022,166215,Local,Matere Packaging Industries Private Limited,SABOO TRANSPORT SERVICE,PM3 GODOWN,6,3223,148258,MH20CT1852,S PAPERS
EXP/2022-23/0003,03/04/2022,17295.41,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26126,17295.41,MH14GU7819,
EXP/2022-23/0004,03/04/2022,17192.81,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,21,25971,17192.81,MH14GU8519,
EXP/2022-23/0005,03/04/2022,17599.93,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,21,26586,17599.93,MH14GU8419,
EXP/2022-23/0006,03/04/2022,17517.84,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,24,26462,17517.84,MH14HG4219,
EXP/2022-23/0007,03/04/2022,17678.71,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26705,17678.71,MH46AF8385,
EXP/2022-23/0008,03/04/2022,17445.02,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26352,17445.02,MH43BX0273,
KPM/2022-23/0019,03/04/2022,56050,Local,OM INDUSTRIES - VPPL,PARTY TRANSPORT,PM2 GODOWN,2,1111,49995,MH20CT0907,VEDANT PACKER PVT. LTD.
KPM/2022-23/0020,03/04/2022,593041,Local,K B Industries - SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,21,11887,528971.5,MH20DE1939,S PAPERS
KPM/2022-23/0021,03/04/2022,579191,Local,OM INDUSTRIES - VPPL,PARTY TRANSPORT,PM3 GODOWN,17,11662,516618,MH20CT0907,VEDANT PACKER PVT. LTD.
KPM/2022-23/0022,03/04/2022,1017511,Local,AMOGH CORRUPACK PVT. LTD.-APS,DATTA ROADLINES,PM3 GODOWN,20,21162,873759,MH28BB5480,AVADHOOT PACKAGING SOLUTIONS PVT. LTD.
KPM/2022-23/0023,03/04/2022,1062273,Local,AMOGH CORRUPACK PVT. LTD.-APS,DATTA ROADLINES,PM3 GODOWN,21,21829,912619,MH28BA2599,AVADHOOT PACKAGING SOLUTIONS PVT. LTD.
KPM/2022-23/0024,03/04/2022,569557,Local,CARE PACK PVT. LTD.-KA,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,22,11612,508025,MH20DT0407,KRISHNA AGENCIES
KPM/2022-23/0026,03/04/2022,143587,Local,MAULIKRUPA PACKAGING-SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,7,2862,128074.5,MH20AT9122,S PAPERS
KPM/2022-23/0027,03/04/2022,177587,Local,Sapson Packaging,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,9,3519,158401.5,MH20AT9122,S PAPERS
KPM/2022-23/0028,03/04/2022,118982,Local,Sapson Packaging,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,2412,106128,MH20AT9122,S PAPERS
EXP/2022-23/0009,04/04/2022,16990.23,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,21,25665,16990.23,MH45 1462,
EXP/2022-23/0010,04/04/2022,17054.45,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,25762,17054.45,MH14HG6766,
EXP/2022-23/0011,04/04/2022,17571.47,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26543,17571.47,MH14JL2419,
KPM/2022-23/0029,04/04/2022,36814,Local,SUMAN PACKAGING,PARTY TRANSPORT,PM2 GODOWN,2,760,32870,MH16CC5911,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0030,04/04/2022,46115,Local,SUMAN PACKAGING,PARTY TRANSPORT,PM3 GODOWN,2,952,41174,MH16CC5911,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0032,04/04/2022,175767,Local,BIYANI PACKAGING PRIVATE LIMITED,SHIVAM TRANSPORT SERVICES,PM3 GODOWN,6,3646,156778,MH16CC5614,BIYANI PACKAGING PRIVATE LIMITED
EXP/2022-23/0012,05/04/2022,17301.38,Export,PACKAGING CO. LTD. S.A.O.G.,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26135,17301.38,MH46AR8477,
KPM/2022-23/0033,05/04/2022,360005,Local,BIYANI PACKAGING PRIVATE LIMITED,SHIVAM TRANSPORT SERVICES,PM2 GODOWN,14,7832,321112,MH16CC5614,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0034,05/04/2022,512107,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,15,10589,456782,MH20DE1939,VEDANT PACKER PVT. LTD.
KPM/2022-23/0036,05/04/2022,407805,Local,SAI SERVICES,PARTY TRANSPORT,PM2 GODOWN,14,8267,363748,MH20AT3855,VEDANT PACKER PVT. LTD.
KPM/2022-23/0037,05/04/2022,478027,Local,BIYANI PACKAGING PRIVATE LIMITED,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,16,10296,426383,MH46BB8755,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0038,06/04/2022,499752,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,9,10499,446207.5,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0039,06/04/2022,50504,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,1,1061,45092.5,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0040,06/04/2022,466364,Local,PRESTIGE PAPER BOX INDUSTRIES-VP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,22,9244,415980,MH20AT9122,VEDANT PACKER PVT. LTD.
KPM/2022-23/0041,06/04/2022,84192,Local,TIRUPATI CORRUGATOR - BPPL,SANKAT MOCHAN ROADLINES,PM3 GODOWN,4,1788,75096,MH04KU1911,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0042,06/04/2022,562907,Local,K B Industries - SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,17,11283,502093.5,MH12HD7886,S PAPERS
KPM/2022-23/0043,06/04/2022,863812,Local,IMPAKT PACKAGING ( NASHIK),NAFISA ROADLINES,PM2 GODOWN,36,17122,770490,MH04CG4429,VEDANT PACKER PVT. LTD.
KPM/2022-23/0044,06/04/2022,97770,Local,TIRUPATI CORRUGATOR - BPPL,SANKAT MOCHAN ROADLINES,PM2 GODOWN,4,2127,87207,MH04KU1911,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0045,06/04/2022,292343,Local,TIRUPATI CORRUGATOR - D,SANKAT MOCHAN ROADLINES,PM2 GODOWN,15,6360,260760,MH04KU1911,TIRUPATI CORRUGATOR - D
KPM/2022-23/0046,06/04/2022,253620,Local,ALIGN COMPONENTS PVT. LTD. (BUII),PARTY TRANSPORT,PM3 GODOWN,7,5297,226446.75,MH12FZ3314,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0047,06/04/2022,37048,Local,RAHUL PACKING,PARTY TRANSPORT,PM2 GODOWN,1,727,33078.5,MH16CC5911,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0048,06/04/2022,126456,Local,RAHUL PACKING,PARTY TRANSPORT,PM3 GODOWN,7,2377,112907.5,MH16CC5911,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0049,06/04/2022,232763,Local,MAULIKRUPA PACKAGING-SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,9,4489,207616.25,MH06K6299,S PAPERS
KPM/2022-23/0050,06/04/2022,290186,Local,MAULIKRUPA ENTERPRISES - SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,15,5507,258836.25,MH06K6299,S PAPERS
KPM/2022-23/0051,06/04/2022,35280,Local,MAULIKRUPA ENTERPRISES - SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,2,666,31468.5,MH06K6299,S PAPERS
KPM/2022-23/0052,06/04/2022,117012,Local,DELTA PACKAGING - DR,SELF TRANSPORTER,PM2 GODOWN,4,2388,104475,MH43E7187,DELTA PACKAGING - DR
KPM/2022-23/0053,07/04/2022,1292400,Local,Frigerio Conserva Allana Private Limited,SELF TRANSPORTER,PM2 GODOWN,32,25931,1140964,MH20AT9201,SHRINIWAS ENTERPRISES
KPM/2022-23/0055,07/04/2022,193109,Local,DELTA PACKAGING - DR,SELF TRANSPORTER,PM3 GODOWN,7,3941,172418.75,MH43E7187,DELTA PACKAGING - DR
KPM/2022-23/0056,07/04/2022,53655,Local,DELTA PACKAGING - DR,SELF TRANSPORTER,PM3 GODOWN,2,1095,47906.25,MH43E7187,DELTA PACKAGING - DR
KPM/2022-23/0057,07/04/2022,440665,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,12,8615,393057.5,MH20AT9122,VEDANT PACKER PVT. LTD.
KPM/2022-23/0058,07/04/2022,970479,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,21,19170,866499.5,MH04DK4467,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0059,07/04/2022,914866,Local,MHETRE PACKAGING PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,31,17549,816028.5,MH20DE7554,MHETRE PACKAGING PVT. LTD.
KPM/2022-23/0061,07/04/2022,352804,Local,DELTA PACKAGING - DR,SELF TRANSPORTER,PM3 GODOWN,10,7545,315003.75,MH43E7187,DELTA PACKAGING - DR
KPM/2022-23/0062,07/04/2022,778472,Local,JALGAON INDUSTRIES,PARTY TRANSPORT,PM2 GODOWN,25,15695,694370,MH18BG6992,VEDANT PACKER PVT. LTD.
